R#,E/N,(Td),A1,A2,A6,A11,A12,A13,A14,A16,A17,A18,A19,A20,A21,A22,A23,A27,A28
27,104.39,3.06126,1.16E+24,2.80E+24,1.74E+24,4.16E+24,1.17E-13,1.51E-13,2.91E-18,4.64E-18,2.40E-23,3.83E-23,1.27E-14,1.51E-17,1.26E-14,-5.31E-18,38.5547,5,1
28,112.496,3.31848,1.14E+24,2.93E+24,1.71E+24,4.33E+24,1.21E-13,1.54E-13,4.67E-18,5.20E-18,3.64E-23,4.05E-23,1.45E-14,1.69E-17,1.44E-14,-1.77E-18,38.5547,5,1
29,120.908,3.57276,1.12E+24,3.06E+24,1.69E+24,4.47E+24,1.25E-13,1.57E-13,7.23E-18,5.73E-18,5.32E-23,4.22E-23,1.64E-14,1.88E-17,1.64E-14,5.36E-18,44.8896,10,2
30,129.626,3.82328,1.11E+24,3.20E+24,1.66E+24,4.61E+24,1.28E-13,1.59E-13,1.08E-17,6.22E-18,7.55E-23,4.34E-23,1.86E-14,2.06E-17,1.85E-14,1.76E-17,44.8896,5,1
31,138.649,4.06844,1.09E+24,3.32E+24,1.64E+24,4.74E+24,1.32E-13,1.61E-13,1.57E-17,6.66E-18,1.04E-22,4.41E-23,2.09E-14,2.24E-17,2.09E-14,3.70E-17,44.8896,5,1
32,147.979,4.31032,1.07E+24,3.45E+24,1.61E+24,4.86E+24,1.35E-13,1.64E-13,2.23E-17,7.06E-18,1.40E-22,4.44E-23,2.35E-14,2.43E-17,2.34E-14,6.57E-17,52.2654,10,2
33,157.614,4.54368,1.06E+24,3.56E+24,1.59E+24,4.97E+24,1.38E-13,1.66E-13,3.09E-17,7.41E-18,1.85E-22,4.44E-23,2.63E-14,2.61E-17,2.62E-14,1.07E-16,52.2654,5,1
34,167.556,4.77165,1.04E+24,3.67E+24,1.57E+24,5.08E+24,1.40E-13,1.68E-13,4.18E-17,7.73E-18,2.39E-22,4.41E-23,2.93E-14,2.79E-17,2.92E-14,1.63E-16,52.2654,5,1
35,177.803,4.99064,1.03E+24,3.78E+24,1.55E+24,5.18E+24,1.43E-13,1.71E-13,5.54E-17,7.99E-18,3.02E-22,4.36E-23,3.26E-14,2.97E-17,3.23E-14,2.37E-16,60.8529,10,2
36,188.356,5.20995,1.02E+24,3.88E+24,1.52E+24,5.28E+24,1.45E-13,1.73E-13,7.24E-17,8.22E-18,3.78E-22,4.29E-23,3.61E-14,3.16E-17,3.57E-14,3.34E-16,60.8529,5,1
37,199.215,5.42574,1.00E+24,3.98E+24,1.50E+24,5.38E+24,1.47E-13,1.75E-13,9.30E-17,8.43E-18,4.65E-22,4.21E-23,3.98E-14,3.34E-17,3.93E-14,4.59E-16,60.8529,5,1
38,210.38,5.63872,9.91E+23,4.08E+24,1.48E+24,5.47E+24,1.49E-13,1.77E-13,1.18E-16,8.60E-18,5.65E-22,4.12E-23,4.39E-14,3.53E-17,4.32E-14,6.16E-16,60.8529,5,1
39,221.851,5.85073,9.78E+23,4.17E+24,1.46E+24,5.57E+24,1.52E-13,1.80E-13,1.47E-16,8.74E-18,6.79E-22,4.03E-23,4.82E-14,3.72E-17,4.73E-14,8.11E-16,70.8514,10,2
40,233.627,6.05978,9.66E+23,4.26E+24,1.44E+24,5.66E+24,1.54E-13,1.82E-13,1.82E-16,8.86E-18,8.07E-22,3.93E-23,5.27E-14,3.91E-17,5.17E-14,1.05E-15,70.8514,5,1
41,245.71,6.2679,9.55E+23,4.35E+24,1.43E+24,5.75E+24,1.55E-13,1.84E-13,2.23E-16,8.96E-18,9.49E-22,3.82E-23,5.76E-14,4.10E-17,5.63E-14,1.34E-15,70.8514,5,1
42,258.098,6.47739,9.44E+23,4.44E+24,1.41E+24,5.85E+24,1.57E-13,1.86E-13,2.69E-16,9.04E-18,1.11E-21,3.71E-23,6.29E-14,4.30E-17,6.11E-14,1.69E-15,82.4926,10,2
43,270.792,6.68515,9.33E+23,4.52E+24,1.39E+24,5.94E+24,1.59E-13,1.89E-13,3.23E-16,9.10E-18,1.28E-21,3.60E-23,6.84E-14,4.50E-17,6.62E-14,2.10E-15,82.4926,5,1
44,283.793,6.89332,9.22E+23,4.60E+24,1.38E+24,6.03E+24,1.61E-13,1.91E-13,3.83E-16,9.14E-18,1.47E-21,3.50E-23,7.42E-14,4.70E-17,7.16E-14,2.58E-15,82.4926,5,1
45,297.099,7.10226,9.11E+23,4.68E+24,1.36E+24,6.13E+24,1.63E-13,1.93E-13,4.52E-16,9.17E-18,1.67E-21,3.39E-23,8.04E-14,4.91E-17,7.72E-14,3.14E-15,82.4926,5,1
46,310.711,7.30852,9.00E+23,4.76E+24,1.34E+24,6.22E+24,1.65E-13,1.95E-13,5.28E-16,9.18E-18,1.89E-21,3.28E-23,8.69E-14,5.12E-17,8.31E-14,3.79E-15,96.0465,11,2
47,324.629,7.52002,8.90E+23,4.84E+24,1.33E+24,6.31E+24,1.66E-13,1.98E-13,6.13E-16,9.19E-18,2.12E-21,3.18E-23,9.38E-14,5.33E-17,8.92E-14,4.54E-15,96.0465,6,1
48,338.852,7.7331,8.80E+23,4.91E+24,1.31E+24,6.41E+24,1.68E-13,2.00E-13,7.08E-16,9.19E-18,2.37E-21,3.08E-23,1.01E-13,5.55E-17,9.56E-14,5.40E-15,96.0465,6,1
49,353.382,7.94973,8.71E+23,4.99E+24,1.30E+24,6.51E+24,1.70E-13,2.02E-13,8.12E-16,9.18E-18,2.64E-21,2.98E-23,1.09E-13,5.78E-17,1.02E-13,6.38E-15,111.827,12,2
50,368.218,8.16643,8.61E+23,5.07E+24,1.28E+24,6.60E+24,1.72E-13,2.04E-13,9.26E-16,9.16E-18,2.92E-21,2.89E-23,1.17E-13,6.01E-17,1.09E-13,7.49E-15,111.827,6,1
51,383.359,8.38524,8.52E+23,5.15E+24,1.27E+24,6.70E+24,1.73E-13,2.06E-13,1.05E-15,9.14E-18,3.21E-21,2.80E-23,1.25E-13,6.25E-17,1.16E-13,8.73E-15,111.827,6,1
52,398.806,8.60631,8.43E+23,5.22E+24,1.26E+24,6.80E+24,1.75E-13,2.09E-13,1.18E-15,9.11E-18,3.52E-21,2.71E-23,1.34E-13,6.49E-17,1.24E-13,1.01E-14,111.827,6,1
53,414.559,8.82971,8.34E+23,5.29E+24,1.24E+24,6.90E+24,1.77E-13,2.11E-13,1.33E-15,9.07E-18,3.85E-21,2.62E-23,1.43E-13,6.73E-17,1.32E-13,1.17E-14,130.201,12,2
54,430.619,9.05559,8.26E+23,5.37E+24,1.23E+24,7.00E+24,1.78E-13,2.13E-13,1.49E-15,9.03E-18,4.18E-21,2.54E-23,1.53E-13,6.98E-17,1.40E-13,1.34E-14,130.201,6,1
55,446.983,9.28403,8.17E+23,5.44E+24,1.22E+24,7.10E+24,1.80E-13,2.15E-13,1.66E-15,8.99E-18,4.53E-21,2.46E-23,1.63E-13,7.24E-17,1.48E-13,1.53E-14,130.201,6,1
56,463.654,9.51513,8.09E+23,5.52E+24,1.21E+24,7.20E+24,1.81E-13,2.17E-13,1.84E-15,8.94E-18,4.90E-21,2.38E-23,1.74E-13,7.50E-17,1.56E-13,1.74E-14,130.201,6,1
57,480.631,9.74952,8.01E+23,5.59E+24,1.20E+24,7.31E+24,1.83E-13,2.20E-13,2.03E-15,8.89E-18,5.27E-21,2.31E-23,1.85E-13,7.76E-17,1.65E-13,1.97E-14,151.593,12,2
58,497.914,9.98611,7.93E+23,5.67E+24,1.18E+24,7.41E+24,1.85E-13,2.22E-13,2.24E-15,8.84E-18,5.66E-21,2.24E-23,1.97E-13,8.03E-17,1.74E-13,2.22E-14,151.593,6,1
59,515.502,10.2256,7.85E+23,5.74E+24,1.17E+24,7.52E+24,1.86E-13,2.24E-13,2.45E-15,8.79E-18,6.06E-21,2.17E-23,2.09E-13,8.31E-17,1.84E-13,2.50E-14,151.593,6,1
60,533.397,10.4679,7.78E+23,5.82E+24,1.16E+24,7.63E+24,1.88E-13,2.26E-13,2.68E-15,8.74E-18,6.47E-21,2.11E-23,2.21E-13,8.59E-17,1.93E-13,2.80E-14,151.593,6,1
